2025-09-08T16:52:48: [Mon Sep  8 16:52:48 2025] PHP 8.3.6 Development Server (http://localhost:8000) started
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58396 Accepted
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58396 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58396 Closing
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58406 Accepted
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58406 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58406 Closing
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58420 Accepted
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58420 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58420 Closing
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58430 Accepted
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58430 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58430 Closing
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58442 Accepted
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58442 [404]: GET /basket - No such file or directory
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58442 Closing
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58456 Accepted
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58456 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58456 Closing
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58458 Accepted
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58458 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58458 Closing
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58470 Accepted
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58470 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58470 Closing
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58486 Accepted
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58486 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58486 Closing
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58500 Accepted
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58500 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58500 Closing
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58504 Accepted
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58504 [404]: GET /basket - No such file or directory
2025-09-08T16:57:58: [Mon Sep  8 16:57:58 2025] 127.0.0.1:58504 Closing
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35054 Accepted
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35054 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35054 Closing
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35062 Accepted
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35062 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35062 Closing
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35072 Accepted
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35072 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35072 Closing
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35080 Accepted
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35080 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35080 Closing
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35092 Accepted
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35092 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35092 Closing
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35106 Accepted
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35106 [404]: GET /basket - No such file or directory
2025-09-08T16:57:59: [Mon Sep  8 16:57:59 2025] 127.0.0.1:35106 Closing
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35120 Accepted
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35120 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35120 Closing
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35126 Accepted
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35126 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35126 Closing
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35132 Accepted
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35132 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35132 Closing
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35146 Accepted
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35146 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35146 Closing
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35150 Accepted
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35150 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35150 Closing
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35152 Accepted
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35152 [404]: GET /basket - No such file or directory
2025-09-08T16:58:00: [Mon Sep  8 16:58:00 2025] 127.0.0.1:35152 Closing
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35158 Accepted
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35158 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35158 Closing
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35172 Accepted
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35172 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35172 Closing
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35188 Accepted
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35188 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35188 Closing
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35200 Accepted
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35200 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35200 Closing
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35214 Accepted
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35214 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35214 Closing
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35218 Accepted
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35218 [404]: GET /basket - No such file or directory
2025-09-08T16:58:01: [Mon Sep  8 16:58:01 2025] 127.0.0.1:35218 Closing
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35222 Accepted
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35222 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35222 Closing
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35230 Accepted
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35230 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35230 Closing
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35238 Accepted
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35238 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35238 Closing
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35240 Accepted
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35240 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35240 Closing
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35254 Accepted
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35254 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35254 Closing
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35262 Accepted
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35262 [404]: GET /basket - No such file or directory
2025-09-08T16:58:06: [Mon Sep  8 16:58:06 2025] 127.0.0.1:35262 Closing
2025-09-08T16:58:15: [Mon Sep  8 16:58:15 2025] 127.0.0.1:45000 Accepted
2025-09-08T16:58:15: [Mon Sep  8 16:58:15 2025] 127.0.0.1:45000 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T16:58:15: [Mon Sep  8 16:58:15 2025] 127.0.0.1:45000 Closing
2025-09-08T16:58:15: [Mon Sep  8 16:58:15 2025] 127.0.0.1:45008 Accepted
2025-09-08T16:58:15: [Mon Sep  8 16:58:15 2025] 127.0.0.1:45008 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T16:58:15: [Mon Sep  8 16:58:15 2025] 127.0.0.1:45008 Closing
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45016 Accepted
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45016 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45016 Closing
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45030 Accepted
2025-09-08T16:58:16: ch file or directory
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45030 Closing
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45042 Accepted
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45042 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45042 Closing
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45050 Accepted
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45050 [404]: GET /basket - No such file or directory
2025-09-08T16:58:16: [Mon Sep  8 16:58:16 2025] 127.0.0.1:45050 Closing
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53058 Accepted
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53058 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53058 Closing
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53060 Accepted
2025-09-08T16:59:01: s_price=Y - No such file or directory
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53060 Closing
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53064 Accepted
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53064 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53064 Closing
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53078 Accepted
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53078 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53078 Closing
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53080 Accepted
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53080 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53080 Closing
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53084 Accepted
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53084 [404]: GET /basket - No such file or directory
2025-09-08T16:59:01: [Mon Sep  8 16:59:01 2025] 127.0.0.1:53084 Closing
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53096 Accepted
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53096 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53096 Closing
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53106 Accepted
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53106 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53106 Closing
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53122 Accepted
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53122 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53122 Closing
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53128 Accepted
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53128 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53128 Closing
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53140 Accepted
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53140 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53140 Closing
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53142 Accepted
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53142 [404]: GET /basket - No such file or directory
2025-09-08T16:59:02: [Mon Sep  8 16:59:02 2025] 127.0.0.1:53142 Closing
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34770 Accepted
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34770 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34770 Closing
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34784 Accepted
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34784 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34784 Closing
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34796 Accepted
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34796 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34796 Closing
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34812 Accepted
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34812 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34812 Closing
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34820 Accepted
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34820 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34820 Closing
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34830 Accepted
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34830 [404]: GET /basket - No such file or directory
2025-09-08T17:00:16: [Mon Sep  8 17:00:16 2025] 127.0.0.1:34830 Closing
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34832 Accepted
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34832 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34832 Closing
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34838 Accepted
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34838 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34838 Closing
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34852 Accepted
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34852 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34852 Closing
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34866 Accepted
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34866 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34866 Closing
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34882 Accepted
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34882 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34882 Closing
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34886 Accepted
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34886 [404]: GET /basket - No such file or directory
2025-09-08T17:00:17: [Mon Sep  8 17:00:17 2025] 127.0.0.1:34886 Closing
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34032 Accepted
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34032 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34032 Closing
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34038 Accepted
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34038 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34038 Closing
2025-09-08T17:00:31: [Mon Sep  8 17:00:31 2025] 127.0.0.1:34046 Accepted
